,isNews,otherWebsiteLink,href,follow_allowed,isFileLink,isBaseOnly,containsNOfollowKeyword,rel,title,urlLength,titleLength,nOfDdigits,nOfForwardSlash,nOfDot,nOfEqual,nOfHash
45,True,False,https://www.turkish.shafaqna.com/TR/AL/5892012,True,False,False,False,,,46,0,0,5,3,0,0
60,True,False,https://www.turkish.shafaqna.com/TR/AL/5892011,True,False,False,False,,,46,0,0,5,3,0,0
75,True,False,https://www.turkish.shafaqna.com/TR/AL/5892010,True,False,False,False,,,46,0,0,5,3,0,0
89,True,False,https://www.turkish.shafaqna.com/TR/AL/5892009,True,False,False,False,,,46,0,0,5,3,0,0
91,True,False,https://www.turkish.shafaqna.com/TR/AL/5892008,True,False,False,False,,,46,0,0,5,3,0,0
104,True,False,https://www.turkish.shafaqna.com/TR/AL/5892007,True,False,False,False,,,46,0,0,5,3,0,0
106,True,False,https://www.turkish.shafaqna.com/TR/AL/5892006,True,False,False,False,,,46,0,0,5,3,0,0
111,True,False,https://www.sondakika.com/haber/haber-altin-522-5-lira-ile-son-7-ayin-en-yuksek-14162301/,True,False,False,False,,"Altın 522,5 lira ile son 7 ayın en yüksek seviyesinde",89,53,5,5,2,0,0
120,True,False,https://www.turkish.shafaqna.com/TR/AL/5892005,True,False,False,False,,,46,0,0,5,3,0,0
124,True,False,https://www.haberler.com/son-dakika-8-60-sinirina-dayanan-dolar-tum-14162179-haberi/,True,False,False,False,,"Son dakika: Dolar 8,59 ile euro 8,47 ile rekor tazeledi",84,55,6,4,2,0,0
125,True,False,https://www.sondakika.com/haber/haber-oyuncu-ece-hakim-harvard-universitesi-nden-mezun-14162299/,True,False,False,False,,"Oyuncu Ece Hakim, Harvard Üniversitesi’nden mezun oldu",96,54,0,5,2,0,0
136,True,False,https://www.turkish.shafaqna.com/TR/AL/5892004,True,False,False,False,,,46,0,0,5,3,0,0
138,True,False,https://www.turkish.shafaqna.com/TR/AL/5892003,True,False,False,False,,,46,0,0,5,3,0,0
141,True,False,https://www.haberler.com/diyarbakir-da-iki-kuyuda-petrol-bulunmasi-sevinc-14161408-haberi/,True,False,False,False,,Arpa ektikleri yerden petrol fışkırdı! İşte Cumhurbaşkanı Erdoğan'ın bahsettiği o kuyu,90,86,0,4,2,0,0
142,True,False,https://www.sondakika.com/haber/haber-sedat-peker-iddialarinin-ardindan-gundeme-gelen-14162275/,True,False,False,False,,Sedat Peker iddialarının ardından gündeme gelen Emniyet Genel Müdür Yardımcısı Çalışkan: Beni nasıl açığa alacaklar bir görelim bakalım,95,135,0,5,2,0,0
152,True,False,https://www.turkish.shafaqna.com/TR/AL/5892002,True,False,False,False,,,46,0,0,5,3,0,0
155,True,False,https://www.haberler.com/sedat-peker-iddialari-sonrasi-gundeme-gelen-14162236-haberi/,True,False,False,False,,Sedat Peker iddiaları sonrası gündeme gelen Emniyet Genel Müdür Yardımcısı Çalışkan: Beni nasıl açığa alacaklar bir görelim bakalım,85,131,0,4,2,0,0
157,True,False,https://www.sondakika.com/haber/haber-iki-kadinin-katil-zanlisinin-babasinin-da-kadin-14162252/,True,False,False,False,,İki kadının katil zanlısının babasının da kadın katili olduğu ortaya çıktı,95,74,0,5,2,0,0
159,True,False,https://www.f5haber.com/gopartners/5c43882a686b218316292c56?url=http%3A%2F%2Fwww.hurriyet.com.tr%2Fyazarlar%2Fabdulkadir-selvi%2Fdemirtas-hdpli-bakan-icin-ne-demis-41819986&ref=yazarlar,True,False,False,False,,"Demirtaş, HDP’li bakan için ne demiş?",185,37,0,4,5,2,0
165,True,False,https://www.turkish.shafaqna.com/TR/AL/5892001,True,False,False,False,,,46,0,0,5,3,0,0
168,True,False,https://www.haberler.com/bakan-koca-normallesme-icin-hazirlik-yaptiklarini-14161853-haberi/,True,False,False,False,,Bakan Koca normalleşme için hazırlık yaptıklarını belirtmişti! 1 Haziran sonrası için taslak plan ortaya çıktı,91,110,1,4,2,0,0
172,True,False,https://www.sondakika.com/haber/haber-son-dakika-daha-once-bu-rakamlar-gorulmedi-14162244/,True,False,False,False,,"Son dakika: Daha önce bu rakamlar görülmedi Dolar 8,5995, euro 8,47",90,67,8,5,2,0,0
181,True,False,https://www.turkish.shafaqna.com/TR/AL/5892000,True,False,False,False,,,46,0,0,5,3,0,0
183,True,False,https://www.turkish.shafaqna.com/TR/AL/5891999,True,False,False,False,,,46,0,0,5,3,0,0
185,True,False,https://www.haberler.com/kim-jong-un-aldigi-kararlara-uymayan-kisiyi-14161887-haberi/,True,False,False,False,,"Kim Jong-un, yasa dışı film satan adamı 500 kişi önünde kurşuna dizdirdi",85,72,3,4,2,0,0
188,True,False,https://www.sondakika.com/haber/haber-diyarbakir-da-iki-kuyuda-petrol-bulunmasi-sevinc-14161408/,True,False,False,False,,Arpa ektikleri yerden petrol fışkırdı İşte Cumhurbaşkanı Erdoğan’ın bahsettiği o kuyu,96,85,0,5,2,0,0
197,True,False,https://www.turkish.shafaqna.com/TR/AL/5891998,True,False,False,False,,,46,0,0,5,3,0,0
199,True,False,https://www.turkish.shafaqna.com/TR/AL/5891997,True,False,False,False,,,46,0,0,5,3,0,0
202,True,False,https://www.haberler.com/bagdaki-kopek-ile-dev-yilanin-olumune-kapismasi-14162133-haberi/,True,False,False,False,,Bağdaki köpek ile dev yılanın ölümüne kapışması kamerada!,89,57,0,4,2,0,0
206,True,False,https://www.sondakika.com/haber/haber-ihracat-nisan-ayinda-yuzde-109-2-artti-14162160/,True,False,False,False,,"İhracat nisan ayında yüzde 109,2 arttı",86,38,4,5,2,0,0
215,True,False,https://www.turkish.shafaqna.com/TR/AL/5891996,True,False,False,False,,,46,0,0,5,3,0,0
217,True,False,https://www.turkish.shafaqna.com/TR/AL/5891995,True,False,False,False,,,46,0,0,5,3,0,0
219,True,False,https://www.haberler.com/cumhurbaskani-erdogan-27-yil-once-yerini-isaret-14161924-haberi/,True,False,False,False,,Cumhurbaşkanı Erdoğan'ın 27 yıl önce yerini işaret ettiği Taksim'deki cami bugün açılıyor,89,89,2,4,2,0,0
223,True,False,https://www.sondakika.com/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,True,False,False,False,,Bağdaki köpek ile dev yılan kapıştı O anlar saniye saniye kaydedildi,91,68,0,5,2,0,0
233,True,False,https://www.turkish.shafaqna.com/TR/AL/5891994,True,False,False,False,,,46,0,0,5,3,0,0
235,True,False,https://www.haberler.com/kpss-giris-ucretinin-300-liraya-yukseldigi-14161952-haberi/,True,False,False,False,,KPSS giriş ücretinin 300 liraya yükseldiği iddiası sosyal medyada gündem oldu,84,77,3,4,2,0,0
239,True,False,https://www.sondakika.com/haber/haber-aksener-erdogan-in-kendisi-icin-kullandigi-14162154/,True,False,False,False,,"Akşener, Erdoğan’ın kendisi için kullandığı “Gelin hanım“ ifadesine yanıt verdi: Benim de kayınbirader demem lazım",90,114,0,5,2,0,0
248,True,False,https://www.turkish.shafaqna.com/TR/AL/5891993,True,False,False,False,,,46,0,0,5,3,0,0
250,True,False,https://www.turkish.shafaqna.com/TR/AL/5891992,True,False,False,False,,,46,0,0,5,3,0,0
253,True,False,https://www.haberler.com/cinsel-iliskiye-girmeyi-reddeden-karisini-olduren-14162033-haberi/,True,False,False,False,,"Cinsel ilişkiye girmeyi reddeden karısını öldüren adam, ardından da çocuklarına kıydı",91,85,0,4,2,0,0
257,True,False,https://www.sondakika.com/haber/haber-akraba-kavgasi-kanli-bitti-kursunlarin-hedefi-14162132/,True,False,False,False,,Akraba kavgası kanlı bitti Kurşunların hedefi olan baba ile oğul yaşamını yitirdi,93,81,0,5,2,0,0
267,True,False,https://www.turkish.shafaqna.com/TR/AL/5891991,True,False,False,False,,,46,0,0,5,3,0,0
270,True,False,https://www.haberler.com/kanadali-parasutcu-ekili-tarlaya-indi-ciftcinin-14161143-haberi/,True,False,False,False,,Ekili tarlaya inen Kanadalı paraşütçüyle Burdurlu çiftçinin diyaloğu izleyenleri gülme krizine soktu,89,100,0,4,2,0,0
274,True,False,https://www.sondakika.com/haber/haber-binadaki-kotu-kokuya-dayanamayan-komsularin-14162121/,True,False,False,False,,Binadaki kötü kokuya dayanamayan komşuların ihbarı üzerine polis evde cansız beden buldu,91,88,0,5,2,0,0
286,True,False,https://www.turkish.shafaqna.com/TR/AL/5891990,True,False,False,False,,,46,0,0,5,3,0,0
287,True,False,https://www.turkish.shafaqna.com/TR/AL/5891987,True,False,False,False,,,46,0,0,5,3,0,0
289,True,False,https://www.haberler.com/iki-kadinin-katil-zanlisinin-babasi-da-kadin-14162026-haberi/,True,False,False,False,,İki kadının katil zanlısının babası da kadın katili çıktı,86,57,0,4,2,0,0
292,True,False,https://www.sondakika.com/fotogaleri/kylie-bildigimiz-gibi-bir-avuc-bikinisiyle/,True,False,False,False,,Kylie bildiğimiz gibi Bir avuç bikinisiyle Instagram’ı kasıp kavurdu,80,68,0,5,2,0,0
301,True,False,https://www.turkish.shafaqna.com/TR/AL/5891986,True,False,False,False,,,46,0,0,5,3,0,0
304,True,False,https://www.haberler.com/ugruna-esini-oldurdugu-bebegin-babasi-cikti-14160987-haberi/,True,False,False,False,,"Hamile karısını ""Bebek benden değil"" diyerek öldüren eş, bebeğin babası çıktı",85,77,0,4,2,0,0
